5.0,55.9807638,-3.1953825,Port of Siam,R98zudw14ZLyTKrkq3ByLw
5.0,55.9807321,-3.1753155,Baxters,VWH8NApJpkp4CsLMmIfYNQ
5.0,55.9788648595,-3.29165174597,Edinburgh Parkrun,p1aDLNNpA5iHKNs725W2yw
5.0,55.977285,-3.1718598,Skippers Bistro,FRLZE2xG4K6c1tzEVFLeXw
5.0,55.9755134,-3.1674969,The Globe Deli,Ys7qsX_8qR7i37uwit9LzQ
5.0,55.9754599,-3.1704084,Martin Wishart,uC7bjXLZIIE2WgtC0VWRYg
5.0,55.9740305,-3.1723567,Vintners Rooms,iG6o2hynadsVsOWeh9b1Vg
5.0,55.9739548,-3.1902668,SheepsesPC,9Nf3YTiypM1gG_QE_b81Kg
5.0,55.9735323,-3.1767817,Sonar Gao,3UYAEVkrmaSV7D7rny1rzg
5.0,55.9727101,-3.1721891,The Scotch Malt Whisky Society,sFxsAx66aiaeUylqbakB2g
5.0,55.9709983031,-3.20890245042,Pizza Bazaar,cRpX86tDZZzUdahDD7Di8w
5.0,55.9684671,-3.1731473,Leith Circle Gallery,79n4ERovIayh_AKwtV3UBg
5.0,55.9654791,-3.1764618,Sound & Vision Technical Services,xbTiTT0Rg9kogj1Bnlqicg
5.0,55.9653957,-3.2714839,Gloriosa,gl7w9FSPYNZe79yzvtLtRA
5.0,55.964259,-3.1770168,Elvis Shakespeare,89mH6T76RSlUAJ9zjT0y8A
5.0,55.9621855,-3.19608,The Beerhive,kySoiSOHk9szKDmSHJvErw
5.0,55.9616205,-3.1652117,Cloud 9,SDl0-kb2F71pQTnbTyZGLg
5.0,55.9612224,-3.1742398,Boots,n6Aq1pRX1HIZ5RlpVKRLbQ
5.0,55.960026,-3.2007756,Cuckoo's Bakery,Di3rTDZIkaJVbcNB3RFOBw
5.0,55.9591001,-3.21073,Marys Living and Giving,-AHKE0bfdkCclKUGLV6JIw
5.0,55.9591,-3.21249,womankind,GviA9xeVl4St7D6NUch76w
5.0,55.9588288,-3.2109137,Patisserie Madeleine,XcWfNJ1L3KfiStcyQg_k4Q
5.0,55.9585642,-3.2049816,Karen's Unicorn,7_985OI8KAdEFmp37vuI-w
5.0,55.9584194,-3.1899737,The Cocktail Emporium,maSOF9kv167t7J9ugWsMGg
5.0,55.9582523,-3.2128819,Dance Ihayami School,nI2gpx1BkOc69sfzB8eUuw
